인허가일자,상세영업상태코드,폐업일자,소재지전체주소,사업장명,업태구분명,구명,동명
20091007,1,,충청북도 청주시 서원구 산남동 492번지 농협하나로마트 내,하나로 베이커리,제과점영업,서원구,산남동
19980414,1,,충청북도 청주시 흥덕구 봉명동 1610-1번지,봉명파리바게뜨,제과점영업,흥덕구,봉명동
20110408,1,,충청북도 청주시 서원구 수곡동 31-2번지 (1층),지희베이커리,제과점영업,서원구,수곡동
20110412,1,,충청북도 청주시 서원구 산남동 690번지 원흥빌딩,파리바게뜨산남대원점,제과점영업,서원구,산남동
20110513,1,,충청북도 청주시 흥덕구 가경동 1696 홈플러스청주점(1층),몽블랑제청주1호점,제과점영업,흥덕구,가경동
20110517,1,,충청북도 청주시 서원구 산남동 496번지 산남렉슬Ⅱ(303호일부),뚜레쥬르산남계룡점(2),제과점영업,서원구,산남동
20110620,1,,충청북도 청주시 상당구 석교동 126-137번지 (1층),바로구운 빵,제과점영업,상당구,석교동
20110826,1,,충청북도 청주시 청원구 오창읍 양청리 820 홈플러스 지하 1층,몽블랑제2점행사매대,제과점영업,청원구,오창읍
20111109,1,,충청북도 청주시 상당구 용암동 2076번지,베이커리하우스,제과점영업,상당구,용암동
20111117,1,,충청북도 청주시 흥덕구 가경동 1556번지 (1층),뚜레쥬르 가경주공점1,제과점영업,흥덕구,가경동
20111117,1,,충청북도 청주시 흥덕구 가경동 1556번지 (1층),뚜레쥬르 가경주공점2,제과점영업,흥덕구,가경동
20111125,1,,충청북도 청주시 서원구 분평동 1249번지 현대대우아파트 상가1동 112호,파리바게뜨분평점2,제과점영업,서원구,분평동
20121123,1,,충청북도 청주시 서원구 사창동 422 (1층),뚜레쥬르 충대중문점,제과점영업,서원구,사창동
20121128,1,,충청북도 청주시 서원구 사창동 422번지 (4층),뚜레쥬르충북대중문점(4층),제과점영업,서원구,사창동
20121206,1,,충청북도 청주시 청원구 율량동 1292번지 (신라@상가101호),떡담청주율량점,제과점영업,청원구,율량동
20121218,1,,충청북도 청주시 상당구 용암동 2338번지 (1층),파리바게트(청주용암덕일),제과점영업,상당구,용암동
20130117,1,,충청북도 청주시 서원구 분평동 1226번지 대상탑존 본동 105호,미코베이커리,제과점영업,서원구,분평동
19920820,1,,충청북도 청주시 흥덕구 복대동 1039번지,고려베이커리,제과점영업,흥덕구,복대동
19941205,1,,충청북도 청주시 상당구 용암동 2064번지 세원한아름아파트 상가1동 123호,뚜레쥬르,제과점영업,상당구,용암동
19950421,1,,충청북도 청주시 상당구 북문로2가 116-42,동네수제빵집,제과점영업,상당구,북문로2가
20110720,1,,충청북도 청주시 흥덕구 복대동 2491번지 (1층),팡스팡스,제과점영업,흥덕구,복대동
20110816,1,,충청북도 청주시 청원구 율량동 500-3 (지하1층),몽블랑제(주)동청주점행사매대1,제과점영업,청원구,율량동
20150127,1,,충청북도 청주시 청원구 내덕동 23-13번지 1~2층,프레티올라,제과점영업,청원구,내덕동
20150127,1,,충청북도 청주시 청원구 내덕동 656-37번지 1층,한아름베이커리,제과점영업,청원구,내덕동
20150130,1,,충청북도 청주시 청원구 율량동 1479,스위트빈,제과점영업,청원구,율량동
20150223,1,,"충청북도 청주시 흥덕구 복대동 545-1번지 ,1층, 2층(라온빌딩A동101,201호)",좋은아침베이커리,제과점영업,흥덕구,복대동
20150319,1,,충청북도 청주시 서원구 사직동 936번지,그래동 베이커리 카페,제과점영업,서원구,사직동
20150323,1,,충청북도 청주시 청원구 주성동 337번지 대원칸타빌3차아파트상가110호,뚜레쥬르율량칸타빌점,제과점영업,청원구,주성동
20150515,1,,충청북도 청주시 청원구 율량동 1282번지,케익하우스,제과점영업,청원구,율량동
20150527,1,,충청북도 청주시 흥덕구 가경동 1328번지,캉파뉴,제과점영업,흥덕구,가경동
20111208,1,,충청북도 청주시 상당구 미원면 미원리 438-5번지,D마트 베이커리,제과점영업,상당구,미원면
20120125,1,,충청북도 청주시 서원구 성화동 898번지 외1필지(1층),파리바게뜨성화2호점,제과점영업,서원구,성화동
20120201,1,,충청북도 청주시 흥덕구 가경동 1696 (1층),몽블랑제청주2호점,제과점영업,흥덕구,가경동
20120201,1,,"충청북도 청주시 청원구 내수읍 마산리 197-170번지 제과점,의원",뚜레쥬르청원내수점,제과점영업,청원구,내수읍
20150930,1,,충청북도 청주시 청원구 율량동 2321번지,파리바게뜨율량2지구점,제과점영업,청원구,율량동
20151014,1,,충청북도 청주시 상당구 북문로2가 74-1번지 1층 109호,자매상회,제과점영업,상당구,북문로2가
20151020,1,,충청북도 청주시 청원구 율량동 2319번지 102호,뚜레쥬르 율량제일점,제과점영업,청원구,율량동
20151020,1,,"충청북도 청주시 청원구 오창읍 주성리 582번지 103,104,105호",파리바게뜨 신오창점,제과점영업,청원구,오창읍
20151027,1,,충청북도 청주시 상당구 남일면 쌍수리 31번지 공군사관학교 1층,파리바게트공군사관학교점,제과점영업,상당구,남일면
20040419,1,,충청북도 청주시 상당구 용암동 2086번지 (1층 12호),파리바게뜨용암효성점,제과점영업,상당구,용암동
20040612,1,,충청북도 청주시 흥덕구 가경동 1696 홈플러스청주가경점(1층),몽블랑제청주점,제과점영업,흥덕구,가경동
20041022,1,,충청북도 청주시 상당구 탑동 48번지,호미베이커리,제과점영업,상당구,탑동
19941026,1,,"충청북도 청주시 서원구 개신동 447-36 한사랑아파트 1층1-3,1-4호",파리바게뜨개신점,제과점영업,서원구,개신동
20100617,1,,충청북도 청주시 흥덕구 강내면 탑연리 171-3번지,파리바게트 청주강내점,제과점영업,흥덕구,강내면
20100625,1,,충청북도 청주시 상당구 남일면 효촌리 251-1번지,빵이 가득한 집,제과점영업,상당구,남일면
19960322,1,,충청북도 청주시 서원구 수곡동 852번지,프랑시앙바게뜨,제과점영업,서원구,수곡동
20101216,1,,충청북도 청주시 흥덕구 오송읍 연제리 715 오송프라자 107호,파리바게뜨오송점,제과점영업,흥덕구,오송읍
20150710,1,,"충청북도 청주시 상당구 금천동 115-1번지 수정아파트103동상가,1층(102호일부)",오븐스토리,제과점영업,상당구,금천동
20150727,1,,충청북도 청주시 청원구 오창읍 주성리 616번지,뚜레쥬르 오창산업단지점,제과점영업,청원구,오창읍
20150804,1,,충청북도 청주시 서원구 분평동 1387번지 호인센트럴존스포츠센타(농협하나로클럽 내) 101호,빵굽는마미갸또,제과점영업,서원구,분평동
20050415,1,,충청북도 청주시 흥덕구 봉명동 2703 (1층),파리바게뜨 청주IP,제과점영업,흥덕구,봉명동
20100719,1,,충청북도 청주시 흥덕구 옥산면 오산리 538-1,파리바게뜨청원옥산점,제과점영업,흥덕구,옥산면
